OBJECTID,UUID,LITSTRAT_FORMATION_BANK,GEOL_MAPPING_UNIT,CHRONO_TOP,CHRONO_BASE,LITHO_MAIN,LITHO_SEC,LITHO_TER,CORRELATION
2846,{005FAC4B-B1A7-40FB-B9C9-57413DADB6F8},,15203373.0,15001075.0,15001075.0,15111606.0,,,15285001.0
2847,{B0164176-3426-472C-B06F-39B4D2F16F5C},,15203374.0,15001050.0,15001050.0,15111565.0,,,15285001.0
2849,{FADE6C6C-2EE3-4B9B-AF23-64B136352D99},,15203376.0,15001088.0,15001093.0,15111546.0,,,15285001.0
2850,{B641CBBC-7079-4956-94C6-1CF21319671C},15255001.0,15203377.0,15001070.0,15001075.0,15111005.0,15111247.0,15111505.0,15285001.0
2851,{8DA06DF5-0C0D-4444-A862-51983668116F},15255276.0,15203378.0,15001002.0,15001091.0,15111510.0,15111005.0,,15285024.0
2852,{0D6EE194-F679-4EC4-9891-B631625FB674},,15203379.0,15001070.0,15001070.0,15111506.0,,,15285001.0
2853,{FDA7BF97-8172-4A35-B630-9AF8445D116E},,15203380.0,15001049.0,15001049.0,15111614.0,,,15285001.0
2946,{57C8EF47-8A1D-40E3-A6F6-8C9D32919E07},,15203381.0,15001091.0,15001091.0,15111517.0,,,15285001.0
3134,{0CE306FE-BCC2-4CFC-81F0-0C34FA4228BE},15255148.0,15203382.0,15001069.0,15001071.0,15111211.0,15111228.0,,15285040.0
3135,{9D51F50C-7CD0-4187-B89B-3E98C21A365C},15255149.0,15203383.0,15001073.0,15001077.0,15111209.0,15111260.0,15111228.0,15285040.0
3308,{53DAD046-9221-4821-AA1F-2FEBDE2C830B},15255257.0,15203385.0,15001120.0,15001120.0,15111516.0,,,15287001.0
3137,{1BFF7739-60FF-4B69-BB14-D9590329F33A},,15203386.0,15001093.0,15001093.0,15111600.0,15111028.0,15111044.0,15287003.0
3138,{17BA2F19-CB7C-4BE5-BE24-554FC893F087},,15203387.0,15001093.0,15001093.0,15111600.0,15111510.0,,15287003.0
3139,{749A5CD3-250B-4CED-8EF4-B115418DBEB2},15255207.0,15203388.0,15001093.0,15001093.0,15111352.0,,,15287003.0
3140,{C6B4D089-1515-4680-AF5E-AD81572CCAA0},,15203389.0,15001093.0,15001093.0,15111028.0,,,15287003.0
3141,{23B37403-2220-4BA6-A30D-BCAD229FEB01},15255208.0,15203390.0,15001110.0,15001120.0,15111604.0,,,15287003.0
3316,{00FA02E6-9D06-402E-8B44-3F83FA04D6D5},15255208.0,15203391.0,15001120.0,15001120.0,15111614.0,,,15287003.0
